Palabra: foi ; Apariciones: 112
Palabra: filha ; Apariciones: 91
Palabra: ferrador ; Apariciones: 75
Palabra: filho ; Apariciones: 60
Palabra: fora ; Apariciones: 56
Palabra: fidalgo ; Apariciones: 44
Palabra: fazer ; Apariciones: 41
Palabra: forca ; Apariciones: 37
Palabra: familia ; Apariciones: 30
Palabra: fosse ; Apariciones: 29
Palabra: faz ; Apariciones: 28
Palabra: fez ; Apariciones: 28
Palabra: fallar ; Apariciones: 26
Palabra: freira ; Apariciones: 18
Palabra: forcas ; Apariciones: 15
Palabra: feliz ; Apariciones: 15
Palabra: ficar ; Apariciones: 15
Palabra: face ; Apariciones: 14
Palabra: fui ; Apariciones: 14
Palabra: falla ; Apariciones: 13
Palabra: favor ; Apariciones: 13
Palabra: final ; Apariciones: 13
Palabra: fidalga ; Apariciones: 12
Palabra: ferido ; Apariciones: 12
Palabra: flores ; Apariciones: 12
Palabra: falta ; Apariciones: 12
Palabra: foram ; Apariciones: 12
Palabra: felicidade ; Apariciones: 11
Palabra: fiz ; Apariciones: 11
Palabra: for ; Apariciones: 11
Palabra: ferros ; Apariciones: 10
Palabra: feito ; Apariciones: 10
Palabra: fugir ; Apariciones: 10
Palabra: faca ; Apariciones: 10
Palabra: filhos ; Apariciones: 9
Palabra: fazia ; Apariciones: 9
Palabra: ficou ; Apariciones: 9
Palabra: fim ; Apariciones: 9
Palabra: frente ; Apariciones: 8
Palabra: futuro ; Apariciones: 8
Palabra: ferro ; Apariciones: 8
Palabra: fe ; Apariciones: 8
Palabra: fizera ; Apariciones: 7
Palabra: faria ; Apariciones: 7
Palabra: fallava ; Apariciones: 6
Palabra: fizesse ; Apariciones: 6
Palabra: fallou ; Apariciones: 6
Palabra: fechar ; Apariciones: 6
Palabra: ferida ; Apariciones: 6
Palabra: filhas ; Apariciones: 6
Palabra: fossem ; Apariciones: 6
Palabra: fronte ; Apariciones: 6
Palabra: fazem ; Apariciones: 6
Palabra: fitos ; Apariciones: 6
Palabra: forte ; Apariciones: 6
Palabra: fugiu ; Apariciones: 6
Palabra: fogo ; Apariciones: 6
Palabra: fio ; Apariciones: 6
Palabra: fronteira ; Apariciones: 5
Palabra: fallemos ; Apariciones: 5
Palabra: freiras ; Apariciones: 5
Palabra: franca ; Apariciones: 5
Palabra: falle ; Apariciones: 5
Palabra: festa ; Apariciones: 5
Palabra: fique ; Apariciones: 5
Palabra: fitou ; Apariciones: 5
Palabra: ferimento ; Apariciones: 4
Palabra: fugitiva ; Apariciones: 4
Palabra: ficaram ; Apariciones: 4
Palabra: fizeram ; Apariciones: 4
Palabra: fortuna ; Apariciones: 4
Palabra: fugisse ; Apariciones: 4
Palabra: febril ; Apariciones: 4
Palabra: fechou ; Apariciones: 4
Palabra: fernao ; Apariciones: 4
Palabra: fibras ; Apariciones: 4
Palabra: figura ; Apariciones: 4
Palabra: fontes ; Apariciones: 4
Palabra: formar ; Apariciones: 4
Palabra: frieza ; Apariciones: 4
Palabra: fazes ; Apariciones: 4
Palabra: febre ; Apariciones: 4
Palabra: feita ; Apariciones: 4
Palabra: fico ; Apariciones: 4
Palabra: flor ; Apariciones: 4
